country,var,code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
AT,I_IT,H,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,20.7,30,37.2,53.7,37.8,48.9,46.8,57.3,46.9,111.5,81.3,68.8,80,98.3,100,113.6,62.9,58.1,61.7,65.6
AT,I_IT,49-52,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,17.6,25.3,34.8,50,35.1,43.6,41.9,54,44.2,108.2,79,66.6,78.3,96.1,97.6,109.6,52.3,56.1,58.8,62.4
AT,I_IT,53,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.3,4.7,2.4,3.8,2.6,5.2,4.8,3.3,2.6,3.2,2.3,2.2,1.7,2.2,2.4,4,10.6,2,2.9,3.4
AT,I_IT,I,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,21,22.6,26,40,36.1,56.6,52,54,48.7,44,29.4,24.6,22.6,28.5,38.4,37.6,40.5,32.5,28.6,33.1
AT,I_IT,J,,,,,,,,,,,,,,,,,,,,,,,,,,100.8,110.6,144,182.1,272.8,270.6,346.7,327.5,270,225.7,195.9,143.7,137.5,93.2,128,118,99.6,135.6,146.5,150.8,168.5
AT,I_IT,58-60,,,,,,,,,,,,,,,,,,,,,,,,,,20,21.1,26.9,19.7,30,40.8,71.9,67.4,60.7,36.4,20.7,18.7,15.7,11.7,13.7,17.4,13.8,19.2,20.1,18.8,21.5
AT,I_IT,61,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,7.2,7.5,9.5,19.5,19.6,19,17.1,18.1,12.4,12.8,8.2,6.9,7.1,8,7.1,5.1,2.6,1.9,2.4,2.7
AT,I_IT,62-63,,,,,,,,,,,,,,,,,,,,,,,,,,70.1,82.3,109.5,152.9,223.2,210.2,255.8,243,191.2,176.9,162.4,116.8,114.9,74.4,106.4,93.5,80.8,113.8,124.5,129.6,144.4
AT,I_IT,K,,,,,,,,,,,,,,,,,,,,,,,,,,97,106.1,118.6,124.5,142.1,121,121.1,108.5,111.9,85.6,65.4,56.1,47.9,44.4,58.7,50,61.8,53.8,55,47.7,54.1
AT,I_IT,L,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.9,6.3,6.9,12.8,10.3,16.4,16.6,28.3,22.4,24.1,36,40.1,25.4,20.4,83.1,42.1,36.1,32.3,43.4,50.8
AT,I_IT,M-N,,,,,,,,,,,,,,,,,,,,,,,,,,75.1,93.9,105.1,102.7,155.6,144,197.9,212.2,247.6,255.5,216.3,176.4,175.6,163.8,195.2,268.3,224.6,304.2,360.9,351,373.5
AT,I_IT,O-U,,,,,,,,,,,,,,,,,,,,,,,,,,221.7,204.4,215.7,219,243.6,205.6,212.8,212.6,202.1,202.5,221.8,211.1,215.8,222.2,212.7,213.7,204.8,206.9,223.7,225.4,227
AT,I_IT,O,,,,,,,,,,,,,,,,,,,,,,,,,,107.9,98.5,105.7,108.6,112.8,95.6,92.5,83,77.1,86,94.9,82.9,91.6,96.3,83.2,76.1,76.9,76.9,81.7,83.2,85
AT,I_IT,P,,,,,,,,,,,,,,,,,,,,,,,,,,52.3,51.3,47.2,46.2,48.7,37.5,46,51.5,41,47,52,54.6,54.8,55.4,63.2,64.6,62.7,60.3,64,63.2,63.2
AT,I_IT,Q,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,14.8,18.8,20.2,24,23.8,17.6,22.3,26.1,22.1,28.4,26.2,28.1,28.7,24.6,32.4,28,29.2,30.2,31.9,33.3
AT,I_IT,R-S,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,39.8,44,44,58.1,48.7,56.7,55.8,57.9,47.4,46.5,47.4,41.3,41.8,41.7,40.6,37.2,40.5,47.8,47.1,45.5
AT,I_IT,R,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,21.3,24,22.2,28,22,23.5,24.9,25.4,20.7,21.7,24.9,20.5,22.1,24.4,21.9,19.6,22.7,25.3,27.2,25.5
AT,I_IT,S,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,18.5,20,21.8,30.1,26.7,33.2,30.9,32.5,26.7,24.8,22.5,20.8,19.7,17.3,18.7,17.6,17.8,22.5,19.9,20
AT,I_IT,T,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
